"hb_author";"hb_university";"hb_age";"hb_subject";"hb_age_today";"hb_bwl2014_u40_rank";"hb_bwl2014_u40_score";"hb_bwl2014_lw_rank";"hb_bwl2014_lw_score";"hb_bwl2014_cr_rank";"hb_bwl2014_cr_score";"hb_vwl2013_u40_rank";"hb_vwl2013_u40_score";"hb_vwl2013_cr_rank";"hb_vwl2013_cr_score";"hb_vwl2013_lw_rank";"hb_vwl2013_lw_score";"hb_bwl2012_u40_rank";"hb_bwl2012_u40_score";"hb_bwl2012_cr_rank";"hb_bwl2012_cr_score";"hb_bwl2012_lw_rank";"hb_bwl2012_lw_score";"hb_vwl2011_u40_rank";"hb_vwl2011_u40_score";"hb_vwl2011_cr_rank";"hb_vwl2011_cr_score";"hb_vwl2011_lw_rank";"hb_vwl2011_lw_score";"hb_vwl2010_u40_rank";"hb_vwl2010_u40_score";"hb_vwl2010_cr_rank";"hb_vwl2010_cr_score";"hb_vwl2010_lw_rank";"hb_vwl2010_lw_score";"hb_bwl2009_u40_rank";"hb_bwl2009_u40_score";"hb_bwl2009_cr_rank";"hb_bwl2009_cr_score";"hb_bwl2009_lw_rank";"hb_bwl2009_lw_score";"rp_rank";"rp_author";"rp_score";"rp_aabs.views_rank";"rp_aabs.views_score";"rp_abs.views_rank";"rp_abs.views_score";"rp_ad.cites_rank";"rp_ad.cites_score";"rp_adown.loads_rank";"rp_adownloads_score";"rp_adsc.cites_rank";"rp_adsc.cites_score";"rp_affiliation";"rp_anb.cites_rank";"rp_anb.cites_score";"rp_anb.pages_rank";"rp_anb.pages_score";"rp_anb.works_rank";"rp_anb.works_score";"rp_asc.cites_rank";"rp_asc.cites_score";"rp_asc.pages_rank";"rp_asc.pages_score";"rp_asc.works_rank";"rp_asc.works_score";"rp_awdsc.cites_rank";"rp_awdsch.cites_score";"rp_awsc.cites_rank";"rp_awsc.cites_score";"rp_awsc.pages_rank";"rp_awsc.pages_score";"rp_awsc.works_rank";"rp_awsc.works_score";"rp_bet.weenn_rank";"rp_between_score";"rp_close_rank";"rp_close_score";"rp_d.cites_rank";"rp_d.cites_score";"rp_dnb.works_rank";"rp_dnb.works_score";"rp_down.loads_rank";"rp_downloads_score";"rp_dsc.cites_rank";"rp_dsc.cites_score";"rp_h.index_rank";"rp_h.index_score";"rp_nb.cites_rank";"rp_nb.cites_score";"rp_nb.pages_rank";"rp_nb.pages_score";"rp_nb.works_rank";"rp_nb.works_score";"rp_ncau.thors_rank";"rp_ncauthors_score";"rp_nep.cites_rank";"rp_nep.cites_score";"rp_rcau.thors_rank";"rp_rcauthors_score";"rp_sc.cites_rank";"rp_sc.cites_score";"rp_sc.pages_rank";"rp_sc.pages_score";"rp_sc.works_rank";"rp_sc.works_score";"rp_stu.dents_rank";"rp_students_score";"rp_wdsc.cites_rank";"rp_wdsc.cites_score";"rp_wsc.cites_rank";"rp_wsc.cites_score";"rp_wsc.pages_rank";"rp_wsc.pages_score";"rp_wsc.works_rank";"rp_wsc.works_score";"gs_id";"gs_author";"gs_affiliation";"gs_total_cites";"gs_h_index";"gs_i_index";"gs_fields";"gs_citation_2015";"gs_citation_2014";"gs_citation_2013";"gs_citation_2012";"gs_citation_2011";"gs_citation_2010";"gs_citation_2009";"gs_citation_2008";"gs_citation_2007";"rp_age_estimated";"age_combined";"subject_fields";"hb_comonscores"
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1831;"Gerhard Glomm ";1733,47;2386;NA;1491;NA;1543;NA;1804;NA;1732;NA;"Department of Economics, Indiana University, Bloomington, Indiana (USA)";1373;NA;2960;NA;5284;NA;1483;NA;2786;NA;3318;NA;1748;NA;1464;NA;2719;NA;3293;NA;1326;NA;2278;NA;1370;NA;3339;NA;1429;NA;1566;NA;1035;NA;1138;NA;1775;NA;3660;NA;1209;NA;1243;NA;1216;NA;1258;NA;2145;NA;2474;NA;2360;NA;1591;NA;1253;NA;2115;NA;2529;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;56;56;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1832;"Guido Lorenzoni ";1734,61;2685;NA;1976;NA;1617;NA;1955;NA;905;NA;"Department of Economics, Northwestern University, Evanston, Illinois (USA)";2894;NA;5853;NA;6772;NA;1668;NA;1442;NA;2133;NA;785;NA;1491;NA;1033;NA;1673;NA;4583;NA;2374;NA;1785;NA;6548;NA;1605;NA;975;NA;2916;NA;2947;NA;5245;NA;4581;NA;2031;NA;1878;NA;1887;NA;1693;NA;1289;NA;1859;NA;2103;NA;826;NA;1494;NA;953;NA;1514;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;43;43;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1833;"James M. Snyder Jr.";1735,5;5241;NA;6135;NA;1499;NA;4935;NA;1105;NA;"Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)";1561;NA;1916;NA;4535;NA;1225;NA;823;NA;1693;NA;1040;NA;1153;NA;816;NA;1620;NA;5998;NA;3107;NA;2039;NA;4849;NA;6860;NA;1508;NA;1227;NA;2049;NA;2749;NA;5197;NA;1955;NA;1563;NA;1916;NA;1600;NA;1256;NA;2055;NA;1692;NA;1423;NA;1497;NA;1172;NA;1902;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;56;56;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1834;"John G. Matsusaka ";1736,31;5344;NA;6729;NA;1378;NA;9680;NA;1229;NA;"Department of Finance and Business Economics, Marshall School of Business, University of Southern California, Los Angeles, California (USA)";1161;NA;1675;NA;4732;NA;1094;NA;845;NA;2129;NA;1241;NA;1090;NA;794;NA;1825;NA;5360;NA;6825;NA;1952;NA;5423;NA;11604;NA;1713;NA;871;NA;1596;NA;2297;NA;6668;NA;1929;NA;1189;NA;1882;NA;1462;NA;1304;NA;2655;NA;2360;NA;1738;NA;1441;NA;1208;NA;2178;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;52;52;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1835;"Sjak Smulders ";1737,71;2494;NA;2462;NA;1215;NA;1634;NA;1447;NA;"CentER for Economic Research, Universiteit van Tilburg, Tilburg, Netherlands";1217;NA;4551;NA;1611;NA;1605;NA;3401;NA;2023;NA;1657;NA;1854;NA;3674;NA;2422;NA;959;NA;1016;NA;1359;NA;1597;NA;1690;NA;1644;NA;1447;NA;1321;NA;3033;NA;641;NA;1838;NA;1519;NA;1935;NA;1719;NA;2644;NA;1916;NA;827;NA;1879;NA;1993;NA;2979;NA;2278;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;49;49;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1836;"G¸nter Coenen ";1738,27;3550;NA;1557;NA;1636;NA;3255;NA;1437;NA;"European Central Bank, Frankfurt am Main, Germany";1705;NA;6948;NA;6543;NA;1505;NA;3804;NA;2761;NA;1375;NA;1472;NA;3398;NA;2594;NA;4350;NA;1397;NA;1018;NA;5590;NA;1315;NA;933;NA;1035;NA;1220;NA;3692;NA;2989;NA;1149;NA;3001;NA;1150;NA;1082;NA;2430;NA;1902;NA;2360;NA;903;NA;1042;NA;2166;NA;1794;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;49;49;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1837;"Wallace E. Huffman ";1739,29;2136;NA;2466;NA;1936;NA;4657;NA;4520;NA;"Department of Economics, Iowa State University, Ames, Iowa (USA)";1496;NA;5271;NA;245;NA;3206;NA;3077;NA;1375;NA;6401;NA;4850;NA;2949;NA;2221;NA;572;NA;1056;NA;2106;NA;240;NA;5340;NA;5032;NA;1227;NA;1655;NA;4393;NA;358;NA;2545;NA;2919;NA;2698;NA;3655;NA;3598;NA;1733;NA;693;NA;6997;NA;5401;NA;3553;NA;2773;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;71;71;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1838;"Robert Korajczyk ";1739,73;6259;NA;8582;NA;1459;NA;4552;NA;1108;NA;"Department of Finance, Kellogg Graduate School of Management, Northwestern University, Evanston, Illinois (USA)";1281;NA;3675;NA;9118;NA;898;NA;863;NA;2414;NA;1185;NA;922;NA;937;NA;2344;NA;13368;NA;8393;NA;1686;NA;9267;NA;6643;NA;1272;NA;1227;NA;1380;NA;3851;NA;10468;NA;1852;NA;2900;NA;1759;NA;940;NA;1109;NA;2769;NA;2360;NA;1313;NA;952;NA;1204;NA;2681;NA;"ndaEOCoAAAAJ";"Robert Korajczyk";"Northwestern University";5539;23;26;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;61;61;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1839;"Jun Pan ";1740,35;9369;NA;9838;NA;1150;NA;10128;NA;823;NA;"Shanghai Advanced Institute of Finance (SAIF), Shanghai Jiao Tong University, Shanghai, China";1459;NA;3443;NA;11796;NA;1081;NA;730;NA;2824;NA;910;NA;1193;NA;683;NA;2476;NA;19583;NA;12497;NA;1198;NA;14386;NA;11139;NA;898;NA;2391;NA;1491;NA;4114;NA;13029;NA;2091;NA;4858;NA;2138;NA;1153;NA;997;NA;3086;NA;2360;NA;1000;NA;1297;NA;914;NA;2706;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;47;47;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1840;"Geoffrey J. D. Hewings ";1740,97;1665;NA;1886;NA;4484;NA;1443;NA;8588;NA;"Regional Economics Applications Laboratory (REAL), University of Illinois at Urbana-Champaign, Urbana-Champaign, Illinois (USA)";4128;NA;207;NA;557;NA;8447;NA;3298;NA;3769;NA;10376;NA;10618;NA;6073;NA;5799;NA;534;NA;9698;NA;4321;NA;370;NA;1675;NA;8591;NA;3594;NA;3994;NA;207;NA;706;NA;5302;NA;5757;NA;6115;NA;8514;NA;3574;NA;4247;NA;971;NA;10565;NA;10584;NA;6526;NA;6677;NA;"LQP5N-cAAAAJ";"Geoffrey J D Hewings";"Regional Economics Applications Laboratory";6081;39;150;"regional economics, regional modeling, interregional trade, migration, ageing";NA;NA;NA;NA;NA;NA;NA;NA;NA;72;72;"R";NA
